id,year,source,source_url,shift_page_note,official_key
1,2024,collegebatch.com (NEET PG 2024 Question Paper with Answer PDF),https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
2,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
3,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
4,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
5,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
6,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
7,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
8,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
9,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
10,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
11,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
12,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
13,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
14,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
15,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
16,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
17,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
18,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
19,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
20,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
21,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
22,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
23,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
24,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
25,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
26,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
27,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
28,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
29,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
30,2024,collegebatch.com,https://collegebatch.com/neet-pg-2024-question-paper,shift/page unknown (sample),no
